"","time","sum_flux","valtype"
"387","1995-02-15",13.0058679638255,"min"
"388","1995-03-16",12.8138112177547,"min"
"389","1995-04-16",13.2543591564737,"min"
"390","1995-05-16",15.26019229942,"min"
"391","1995-06-16",18.0641067017672,"min"
"392","1995-07-16",19.3502431207364,"min"
"393","1995-08-16",19.2100708549887,"min"
"394","1995-09-16",17.7482296972748,"min"
"395","1995-10-16",15.6956693678108,"min"
"396","1995-11-16",14.5104227038713,"min"
"397","1995-12-16",14.0237366299063,"min"
"398","1996-01-16",11.2650461829114,"min"
"399","1996-02-15",11.651890432739,"min"
"400","1996-03-16",11.6621934554672,"min"
"401","1996-04-16",12.4787978419188,"min"
"402","1996-05-16",14.9934734369835,"min"
"403","1996-06-16",16.9958685605235,"min"
"404","1996-07-16",18.636928275881,"min"
"405","1996-08-16",17.2679408123285,"min"
"406","1996-09-16",14.2403768824682,"min"
"407","1996-10-16",12.0537103107908,"min"
"408","1996-11-16",11.12271182923,"min"
"409","1996-12-16",10.6294292382232,"min"
"410","1997-01-16",10.3722820471513,"min"
"411","1980-01-16",10.7940780624504,"max"
"412","1980-02-15",11.6344925782798,"max"
"413","1980-03-16",12.2058480087709,"max"
"414","1980-04-16",13.087189997039,"max"
"415","1980-05-16",14.8900010464821,"max"
"416","1980-06-16",17.583535253365,"max"
"417","1980-07-16",18.8230006434452,"max"
"418","1980-08-16",18.3475254550944,"max"
"419","1980-09-16",15.1303046123504,"max"
"420","1980-10-16",13.3352300852742,"max"
"421","1980-11-16",11.8451846879717,"max"
"422","1980-12-16",11.7425093147201,"max"
"423","1981-01-16",11.250936530086,"max"
"424","1981-02-15",11.9416105324067,"max"
"425","1981-03-16",12.3664302409429,"max"
"426","1981-04-16",12.6995304769172,"max"
"427","1981-05-16",15.3377238702724,"max"
"428","1981-06-16",18.4308935136726,"max"
"429","1981-07-16",19.3061222621639,"max"
"430","1981-08-16",19.1169696170074,"max"
"431","1981-09-16",15.7030511894548,"max"
"432","1981-10-16",13.7251509788461,"max"
"433","1981-11-16",12.1514015691124,"max"
"434","1981-12-16",11.69112182268,"max"
"435","1982-01-16",11.9849256404637,"max"
"436","1982-02-15",12.4269805184154,"max"
"437","1982-03-16",13.2054888449978,"max"
"438","1982-04-16",12.6990645713659,"max"
"439","1982-05-16",15.3024537583614,"max"
"440","1982-06-16",19.1261026565752,"max"
"441","1982-07-16",20.5506050417957,"max"
"442","1982-08-16",19.7268630150471,"max"
"443","1982-09-16",16.7651941805367,"max"
"444","1982-10-16",14.5717370641569,"max"
"445","1982-11-16",12.6142343835455,"max"
"446","1982-12-16",12.4776360589198,"max"
"447","1983-01-16",13.0815410974138,"max"
"448","1983-02-15",13.1035210849131,"max"
"449","1983-03-16",13.1229950018892,"max"
"450","1983-04-16",13.3248653721553,"max"
"451","1983-05-16",17.032132146811,"max"
"452","1983-06-16",19.2038014226105,"max"
"453","1983-07-16",21.0512329525256,"max"
"454","1983-08-16",20.3786268931487,"max"
"455","1983-09-16",16.5521475407209,"max"
"456","1983-10-16",14.7654082788991,"max"
"457","1983-11-16",12.8664304308233,"max"
"458","1983-12-16",12.6502789511286,"max"
"459","1984-01-16",12.6850100867418,"max"
"460","1984-02-15",12.5857257985124,"max"
"461","1984-03-16",13.0072333837847,"max"
"462","1984-04-16",13.0667626265472,"max"
"463","1984-05-16",15.163394338385,"max"
"464","1984-06-16",18.6600082384202,"max"
"465","1984-07-16",19.5526146142239,"max"
"466","1984-08-16",18.8117028478868,"max"
"467","1984-09-16",16.1903302542227,"max"
"468","1984-10-16",14.4327520919013,"max"
"469","1984-11-16",12.9717026184073,"max"
"470","1984-12-16",12.1780828909747,"max"
"471","1985-01-16",12.7307019110934,"max"
"472","1985-02-15",12.7406444119023,"max"
"473","1985-03-16",12.9351782335427,"max"
"474","1985-04-16",14.2168258625532,"max"
"475","1985-05-16",16.7318008133503,"max"
"476","1985-06-16",19.6915837141958,"max"
"477","1985-07-16",21.378424539214,"max"
"478","1985-08-16",19.9650483992318,"max"
"479","1985-09-16",17.0720806905724,"max"
"480","1985-10-16",14.7139237354486,"max"
"481","1985-11-16",13.3745729003572,"max"
"482","1985-12-16",12.1660488333186,"max"
"483","1986-01-16",12.277466179136,"max"
"484","1986-02-15",12.4411826338736,"max"
"485","1986-03-16",12.9482776030719,"max"
"486","1986-04-16",13.3259293309683,"max"
"487","1986-05-16",15.0158280689933,"max"
"488","1986-06-16",18.5590062209054,"max"
"489","1986-07-16",20.3545196909045,"max"
"490","1986-08-16",19.7208089307405,"max"
"491","1986-09-16",16.5108128811837,"max"
"492","1986-10-16",14.300206707951,"max"
"493","1986-11-16",12.8977426062977,"max"
"494","1986-12-16",12.5131637506689,"max"
"495","1987-01-16",12.9403295624292,"max"
"496","1987-02-15",13.5492285308242,"max"
"497","1987-03-16",13.0722291059304,"max"
"498","1987-04-16",13.5698406013824,"max"
"499","1987-05-16",15.7159703500859,"max"
"500","1987-06-16",18.0002008500475,"max"
"501","1987-07-16",20.7697212089876,"max"
"502","1987-08-16",19.5536015614915,"max"
"503","1987-09-16",16.7124508981211,"max"
"504","1987-10-16",14.371006542743,"max"
"505","1987-11-16",12.6091786857554,"max"
"506","1987-12-16",11.9874618832151,"max"
"507","1988-01-16",11.7106192577225,"max"
"508","1988-02-15",12.1736907336782,"max"
"509","1988-03-16",12.5984347881155,"max"
"510","1988-04-16",13.0893371889967,"max"
"511","1988-05-16",15.3212126540525,"max"
"512","1988-06-16",18.5215433313635,"max"
"513","1988-07-16",20.1731622944038,"max"
"514","1988-08-16",19.2753252410119,"max"
"515","1988-09-16",16.0092661672128,"max"
"516","1988-10-16",14.2843974908476,"max"
"517","1988-11-16",12.7429922121362,"max"
"518","1988-12-16",11.92644967184,"max"
"519","1989-01-16",13.1238080291487,"max"
"520","1989-02-15",13.6711791325105,"max"
"521","1989-03-16",14.7464534481808,"max"
"522","1989-04-16",15.0873000037398,"max"
"523","1989-05-16",16.387877927776,"max"
"524","1989-06-16",19.3278437068587,"max"
"525","1989-07-16",22.0208149544401,"max"
"526","1989-08-16",22.2270701399075,"max"
"527","1989-09-16",20.406645880684,"max"
"528","1989-10-16",16.7381943470846,"max"
"529","1989-11-16",15.2117071050134,"max"
"530","1989-12-16",14.1261800507361,"max"
"531","1990-01-16",14.3848130643762,"max"
"532","1990-02-15",15.1798183026197,"max"
"533","1990-03-16",16.5467445773152,"max"
"534","1990-04-16",16.4912176225895,"max"
"535","1990-05-16",17.8205169099563,"max"
"536","1990-06-16",20.1173874550424,"max"
"537","1990-07-16",22.6670451346473,"max"
"538","1990-08-16",22.118666130359,"max"
"539","1990-09-16",19.2082546548448,"max"
"540","1990-10-16",16.2484999261278,"max"
"541","1990-11-16",14.0985500945843,"max"
"542","1990-12-16",12.8495437843568,"max"
"543","1991-01-16",12.4398093435363,"max"
"544","1991-02-15",13.0569937907941,"max"
"545","1991-03-16",14.4075744631938,"max"
"546","1991-04-16",14.8418970381383,"max"
"547","1991-05-16",16.6978927723751,"max"
"548","1991-06-16",19.9852676754167,"max"
"549","1991-07-16",21.5163557099913,"max"
"550","1991-08-16",21.909433898642,"max"
"551","1991-09-16",19.0054728395942,"max"
"552","1991-10-16",16.1958639890943,"max"
"553","1991-11-16",13.742626878814,"max"
"554","1991-12-16",12.3796304803434,"max"
"555","1992-01-16",12.1375267778906,"max"
"556","1992-02-15",12.6826176964281,"max"
"557","1992-03-16",14.5074419136155,"max"
"558","1992-04-16",14.8410089434505,"max"
"559","1992-05-16",16.9364037539814,"max"
"560","1992-06-16",20.1392751381418,"max"
"561","1992-07-16",21.8013750271908,"max"
"562","1992-08-16",21.3368029890975,"max"
"563","1992-09-16",19.0397815860942,"max"
"564","1992-10-16",16.1937561707372,"max"
"565","1992-11-16",13.9898605004709,"max"
"566","1992-12-16",12.9696042402036,"max"
"567","1993-01-16",13.480003168002,"max"
"568","1993-02-15",13.9144012199638,"max"
"569","1993-03-16",14.7207486012933,"max"
"570","1993-04-16",14.680982172717,"max"
